0.1,13,2000,3000,0.1114576922,0.0583706308,0.0803066533,0.0600330167,0.0913752917,0.0677513028,0.0951673078,0.0701087243
0.2,13,2000,3000,0.5219810101,0.3288978816,0.5438621312,0.3797650254,0.5540634778,0.4600115536,0.3543735578,0.211303306
0.3,13,2000,3000,1.4593605649,1.3485864974,0.2097329299,0.1603160405,0.2544601824,0.2024845045,3.5568238535,3.2852472708
0.4,13,2000,3000,5.8379422913,2.4876001988,0.5651341031,0.4820871024,0.6168941962,0.4452233171,3.3650431954,3.0616925375
0.5,13,2000,3000,6.8058092881,4.0387805238,0.9871399347,1.9881442379,0.1059594148,0.0618872936,6.0538050986,3.1309311022
0.6,13,2000,3000,7.2820076752,1.3086360627,3.3516253063,1.2044833214,1.3649873018,1.5234825752,5.5332834635,1.4190787843
0.7,13,2000,3000,7.4929396755,1.1574367344,3.8405584144,1.8246222987,0.6429857846,0.4990196851,4.964037711,0.5728775406
0.8,13,2000,3000,7.4332618256,1.0660006616,3.3038949351,0.7636428604,2.0894289319,1.0936636696,5.2392840822,0.9805255271
0.9,13,2000,3000,7.3390582156,0.9742770133,3.2127083409,0.6389790978,1.8462868667,0.8052750542,4.7132399119,0.7201951635
1,13,2000,3000,7.0459053628,0.4614303365,3.3371304668,0.9119996701,1.872377937,0.6521607843,5.0960024814,0.9700513198
