/home/nitta/Documents/Sam/22-01-2019PC6_2.5nm_step/R0.1B13.0ATP2000.0MD3000.0/
time,bmotors,vel
0.00000000000000,29,0.08003380550778
0.10000000000000,28,0.23195905999745
0.20000000000000,27,0.06655360247069
0.30000000000000,31,0.03301847441047
0.40000000000000,29,0.04296467904557
0.50000000000000,26,0.02561222267697
0.60000000000000,26,0.02527307916758
0.70000000000000,29,0.09677269371841
0.80000000000000,29,0.02468771238860
0.90000000000000,31,0.04992284660511
1.00000000000000,34,0.23519850692651
1.10000000000000,29,0.14412455720517
1.20000000000000,28,0.12116064649411
1.30000000000000,29,0.20346693080070
1.40000000000000,29,0.04827178104407
1.60000000000000,27,0.02021980128533
1.70000000000000,30,0.17000136063665
1.80000000000000,28,0.10654054778445
1.90000000000000,29,0.19298742452582
2.00000000000000,27,0.18208375477625
2.10000000000000,30,0.07034800854617
2.20000000000000,31,0.14322050412475
2.30000000000000,28,0.02494799304648
2.40000000000000,27,0.05953034124500
2.50000000000000,26,0.13312923039513
2.60000000000000,25,0.02133626230044
2.70000000000000,28,0.04703694606219
2.80000000000000,29,0.04773315079075
2.90000000000000,27,0.04055286671978
3.00000000000000,27,0.05256995944309
av_speed,std_dev
0.0913752916714,0.0677513028082
/home/nitta/Documents/Sam/22-01-2019PC6_2.5nm_step/R0.2B13.0ATP2000.0MD3000.0/
time,bmotors,vel
0.00000000000000,24,0.49815094209797
0.10000000000000,24,0.12691433628961
0.20000000000000,27,0.01723096406724
0.30000000000000,26,0.72217986440970
0.40000000000000,23,0.23527133379919
0.50000000000000,26,0.03849216339652
0.60000000000000,28,0.51979100211005
0.70000000000000,21,1.10203739315392
0.80000000000000,24,0.09597865264787
0.90000000000000,28,0.75777586454417
1.00000000000000,22,0.47634588441733
1.10000000000000,25,0.00887735947688
1.20000000000000,20,0.27506156546794
1.30000000000000,22,0.47550389959552
1.40000000000000,21,1.60161273170350
1.60000000000000,22,0.79177976411480
1.70000000000000,23,0.02501781953389
1.80000000000000,22,0.08773415246113
1.90000000000000,19,0.19349357287921
2.00000000000000,22,0.94826679861692
2.10000000000000,21,0.69407291069402
2.20000000000000,22,1.13448145406469
2.30000000000000,23,1.56182826515586
2.40000000000000,22,0.90277177982441
2.50000000000000,21,0.52065588166311
2.60000000000000,18,0.08067037465717
2.70000000000000,24,0.74972650199160
2.80000000000000,22,0.03866915888472
2.90000000000000,19,0.86961577791056
3.00000000000000,21,1.07189616352503
av_speed,std_dev
0.554063477772,0.460011553626
/home/nitta/Documents/Sam/22-01-2019PC6_2.5nm_step/R0.3B13.0ATP2000.0MD3000.0/
time,bmotors,vel
0.00000000000000,23,0.18038923633353
0.10000000000000,31,0.02756238325647
0.20000000000000,27,0.11029004399730
0.30000000000000,30,0.59454309031383
0.40000000000000,26,0.46816171856563
0.50000000000000,31,0.07949520045446
0.60000000000000,27,0.32724125713000
0.70000000000000,33,0.42174603169424
0.80000000000000,25,0.16056822941283
0.90000000000000,31,0.33204447404554
1.00000000000000,32,0.08766832495414
1.10000000000000,28,0.19343059630378
1.20000000000000,27,0.03993631673043
1.30000000000000,32,0.30582982689750
1.40000000000000,32,0.01801089923514
1.60000000000000,25,0.36240318338126
1.70000000000000,28,0.88226194702819
1.80000000000000,30,0.43856396970935
1.90000000000000,33,0.28964507714451
2.00000000000000,30,0.45437833832591
2.10000000000000,26,0.38856934127830
2.20000000000000,28,0.26702662297106
2.30000000000000,28,0.06036300966537
2.40000000000000,27,0.14105232143361
2.50000000000000,24,0.32066632107649
2.60000000000000,27,0.08537006215365
2.70000000000000,25,0.03137708589936
2.80000000000000,28,0.01597360511372
2.90000000000000,24,0.12447610136590
3.00000000000000,29,0.42476085725563
av_speed,std_dev
0.254460182438,0.202484504488
/home/nitta/Documents/Sam/22-01-2019PC6_2.5nm_step/R0.4B13.0ATP2000.0MD3000.0/
time,bmotors,vel
0.00000000000000,33,0.01157662251222
0.10000000000000,44,0.64894892195844
0.20000000000000,41,0.18520946314054
0.30000000000000,42,1.09097899407019
0.40000000000000,40,0.78916902110583
0.50000000000000,42,0.25260543639376
0.60000000000000,39,0.61070193502255
0.70000000000000,45,0.72920073189579
0.80000000000000,34,1.25102532558474
0.90000000000000,46,1.14940903792027
1.00000000000000,41,1.20983084459613
1.10000000000000,41,1.06213939271392
1.20000000000000,40,0.11821042107369
1.30000000000000,38,0.86097967279395
1.40000000000000,34,0.56963243586740
1.60000000000000,33,0.28984841624183
1.70000000000000,33,0.05886934217255
1.80000000000000,43,0.09253887452514
1.90000000000000,33,0.21854798960102
2.00000000000000,31,0.50272361409566
2.10000000000000,35,0.04742079231057
2.20000000000000,38,0.47435416944237
2.30000000000000,39,1.43089071871843
2.40000000000000,36,0.36393461328720
2.50000000000000,34,0.67732565916849
2.60000000000000,37,0.04118944585103
2.70000000000000,39,1.45284711295266
2.80000000000000,41,1.13255945959780
2.90000000000000,42,0.66837770658449
3.00000000000000,37,0.51577971465271
av_speed,std_dev
0.616894196195,0.44522331708
/home/nitta/Documents/Sam/22-01-2019PC6_2.5nm_step/R0.5B13.0ATP2000.0MD3000.0/
time,bmotors,vel
0.00000000000000,32,0.22408809334374
0.10000000000000,37,0.10070341202311
0.20000000000000,45,0.15859146279930
0.30000000000000,39,0.24373713382459
0.40000000000000,33,0.05113526722713
0.50000000000000,35,0.16717112937039
0.60000000000000,34,0.18172526910345
0.70000000000000,38,0.10913176795629
0.80000000000000,31,0.14663498372072
0.90000000000000,37,0.19350083975081
1.00000000000000,34,0.02737961770361
