tym,bm,vel
0.00000000000000,29,0.08003380550778
0.10000000000000,28,0.23195905999745
0.20000000000000,27,0.06655360247069
0.30000000000000,31,0.03301847441047
0.40000000000000,29,0.04296467904557
0.50000000000000,26,0.02561222267697
0.60000000000000,26,0.02527307916758
0.70000000000000,29,0.09677269371841
0.80000000000000,29,0.02468771238860
0.90000000000000,31,0.04992284660511
1.00000000000000,34,0.23519850692651
1.10000000000000,29,0.14412455720517
1.20000000000000,28,0.12116064649411
1.30000000000000,29,0.20346693080070
1.40000000000000,29,0.04827178104407
1.60000000000000,27,0.02021980128533
1.70000000000000,30,0.17000136063665
1.80000000000000,28,0.10654054778445
1.90000000000000,29,0.19298742452582
2.00000000000000,27,0.18208375477625
2.10000000000000,30,0.07034800854617
2.20000000000000,31,0.14322050412475
2.30000000000000,28,0.02494799304648
2.40000000000000,27,0.05953034124500
2.50000000000000,26,0.13312923039513
2.60000000000000,25,0.02133626230044
2.70000000000000,28,0.04703694606219
2.80000000000000,29,0.04773315079075
2.90000000000000,27,0.04055286671978
3.00000000000000,27,0.05256995944309
